force,pool,pool_name,current_fte,target_fte,allocated_fte,absolute_deviation,harm_weighted_demand,demand_pressure_index_pct,reallocation_pct
Avon and Somerset,Pool_1_Patrol,Warranted Officers (Patrol),3314.0,5531.886501675944,5531.0,0.88650168,1573109.9,99.9839746951483,66.89800844900422
Bedfordshire,Pool_1_Patrol,Warranted Officers (Patrol),1454.0,1409.2816796150735,1409.0,0.28167962,400759.3,99.98001253978194,-3.094910591471802
Cambridgeshire,Pool_1_Patrol,Warranted Officers (Patrol),1707.0,1330.354593989641,1330.0,0.35459399,378314.7,99.97334590407377,-22.085530169888692
Cheshire,Pool_1_Patrol,Warranted Officers (Patrol),2417.0,1099.2371992980886,1209.0,109.7628,312591.54000000004,109.98536082767212,-49.97931319817956
City of London,Pool_1_Patrol,Warranted Officers (Patrol),999.0,321.7493875814352,500.0,178.25061,91496.3,155.40045118918815,-49.94994994994995
Cleveland,Pool_1_Patrol,Warranted Officers (Patrol),1504.0,2585.370473988218,2585.0,0.37047399,735205.23,99.98567037134734,71.875
Cumbria,Pool_1_Patrol,Warranted Officers (Patrol),1384.0,487.05480235071667,692.0,204.9452,138504.41999999998,142.07846769195947,-50.0
Derbyshire,Pool_1_Patrol,Warranted Officers (Patrol),2123.0,1665.7570458726973,1665.0,0.75704587,473693.54000000004,99.95455244361277,-21.5732454074423
Devon and Cornwall,Pool_1_Patrol,Warranted Officers (Patrol),3569.0,1870.9033973413905,1870.0,0.90339734,532031.28,99.95171330905303,-47.60437097226114
Dorset,Pool_1_Patrol,Warranted Officers (Patrol),1404.0,829.0724429948112,829.0,0.072442995,235764.43,99.99126216346673,-40.95441595441596
Durham,Pool_1_Patrol,Warranted Officers (Patrol),1400.0,1209.1349883434352,1209.0,0.13498834,343843.32,99.98883595754513,-13.642857142857142
Dyfed-Powys,Pool_1_Patrol,Warranted Officers (Patrol),1261.0,376.2894856139079,631.0,254.71051,107005.94,167.69004293875963,-49.960348929421095
Essex,Pool_1_Patrol,Warranted Officers (Patrol),3759.0,3002.731540772166,3002.0,0.73154077,853890.75,99.97563748999093,-20.13833466347433
Gloucestershire,Pool_1_Patrol,Warranted Officers (Patrol),1349.0,945.4227461720631,945.0,0.42274617,268851.12,99.95528495863097,-29.948109710896958
Gwent,Pool_1_Patrol,Warranted Officers (Patrol),1549.0,1249.1435579777963,1249.0,0.14355798,355220.61,99.98850748763988,-19.367333763718527
Hampshire,Pool_1_Patrol,Warranted Officers (Patrol),3364.0,2897.7865365929983,2897.0,0.78653659,824047.4,99.97285733151611,-13.882282996432819
Hertfordshire,Pool_1_Patrol,Warranted Officers (Patrol),2380.0,1893.7343208748773,1893.0,0.73432087,538523.74,99.96122365915943,-20.462184873949578
Humberside,Pool_1_Patrol,Warranted Officers (Patrol),2284.0,1928.273949524078,1928.0,0.27394952,548345.8200000001,99.98579301845852,-15.586690017513135
Kent,Pool_1_Patrol,Warranted Officers (Patrol),4167.0,2784.519561162609,2784.0,0.51956116,791837.52,99.98134108411894,-33.18934485241181
Lancashire,Pool_1_Patrol,Warranted Officers (Patrol),3606.0,2597.7755924967864,2597.0,0.7755925,738732.89,99.97014397629161,-27.981142540210758
Leicestershire,Pool_1_Patrol,Warranted Officers (Patrol),2267.0,1985.1755374062652,1985.0,0.17553741,564527.0,99.99115758768141,-12.439347154830172
Lincolnshire,Pool_1_Patrol,Warranted Officers (Patrol),1174.0,1226.662915892816,1226.0,0.66291589,348827.76,99.94595777827574,4.429301533219761
Merseyside,Pool_1_Patrol,Warranted Officers (Patrol),4172.0,2866.009352424159,2866.0,0.009352424,815010.88,99.99967367782136,-31.3039309683605
Metropolitan Police,Pool_1_Patrol,Warranted Officers (Patrol),32332.0,46026.543892926995,46026.0,0.54389293,13088629.32,99.99881830595784,42.35432388964494
Norfolk,Pool_1_Patrol,Warranted Officers (Patrol),1902.0,990.4244704249252,990.0,0.42447042,281648.32,99.95714257496657,-47.94952681388013
North Wales,Pool_1_Patrol,Warranted Officers (Patrol),1723.0,743.6426975346752,862.0,118.3573,211470.66,115.9158831059194,-49.97098084735926
North Yorkshire,Pool_1_Patrol,Warranted Officers (Patrol),1656.0,817.2880973414266,828.0,10.711903,232413.3,101.31066421907016,-50.0
Northamptonshire,Pool_1_Patrol,Warranted Officers (Patrol),1463.0,1982.2571700323513,1982.0,0.25717003,563697.1,99.98702640423053,35.47505126452495
Northumbria,Pool_1_Patrol,Warranted Officers (Patrol),3837.0,2916.3614051407667,2916.0,0.36140514,829329.56,99.98760766960743,-24.00312744331509
Nottinghamshire,Pool_1_Patrol,Warranted Officers (Patrol),2380.0,3379.6459487454167,3379.0,0.64594874,961074.4,99.98088708831597,41.97478991596639
South Wales,Pool_1_Patrol,Warranted Officers (Patrol),3496.0,2303.1436014099563,2303.0,0.14360141,654948.0,99.99376498235418,-34.12471395881007
South Yorkshire,Pool_1_Patrol,Warranted Officers (Patrol),3040.0,4111.976113315655,4111.0,0.97611332,1169328.1,99.97626169781253,35.23026315789474
Staffordshire,Pool_1_Patrol,Warranted Officers (Patrol),1998.0,2298.1912033619624,2298.0,0.19120336,653539.6799999999,99.99168026743455,15.015015015015015
Suffolk,Pool_1_Patrol,Warranted Officers (Patrol),1415.0,684.568176084963,708.0,23.431824,194671.56,103.42286199294908,-49.96466431095406
Surrey,Pool_1_Patrol,Warranted Officers (Patrol),2344.0,1436.505486275644,1436.0,0.50548628,408500.97,99.964811392614,-38.737201365187715
Sussex,Pool_1_Patrol,Warranted Officers (Patrol),3230.0,3342.297633260189,3342.0,0.29763326,950453.61,99.99109495045482,3.4674922600619196
Thames Valley,Pool_1_Patrol,Warranted Officers (Patrol),4993.0,4158.9759996473285,4158.0,0.97599965,1182693.52,99.97653269344639,-16.723412777889042
Warwickshire,Pool_1_Patrol,Warranted Officers (Patrol),1131.0,1021.1033019421582,1021.0,0.10330194,290372.5,99.98988330152673,-9.725906277630415
West Mercia,Pool_1_Patrol,Warranted Officers (Patrol),2520.0,1825.2236863073615,1825.0,0.22368631,519041.28,99.9877447181384,-27.579365079365083
West Midlands,Pool_1_Patrol,Warranted Officers (Patrol),8027.0,9714.469241473258,9714.0,0.46924147,2762516.5,99.99516966432654,21.01656907935717
West Yorkshire,Pool_1_Patrol,Warranted Officers (Patrol),6130.0,6973.484343851713,6100.0,873.48434,1983058.99,87.47420513502931,-0.48939641109298526
Wiltshire,Pool_1_Patrol,Warranted Officers (Patrol),1215.0,619.5699209612508,608.0,11.569921,176187.91999999998,98.13258833751964,-49.958847736625515
Avon and Somerset,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),2722.0,3025.503745143027,3025.0,0.50374514,18331845.36,99.98335004067222,11.131520940484938
Bedfordshire,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1151.0,891.575829354247,891.0,0.57582935,5402151.71,99.93541442743417,-22.589052997393573
Cambridgeshire,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),872.0,1088.6061759270633,1088.0,0.60617593,6595979.3,99.94431632481351,24.770642201834864
Cheshire,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1445.0,1390.2603577107943,1390.0,0.26035771,8423733.71,99.98127273719989,-3.8062283737024223
City of London,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),637.0,72.4387344766675,319.0,246.56127,438913.91,440.3721328162487,-49.92150706436421
Cleveland,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),910.0,1188.6770269493586,1188.0,0.67702695,7202319.11,99.94304365828486,30.54945054945055
Cumbria,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),600.0,612.110795374397,612.0,0.11079537,3708843.68,99.9818994575436,2.0
Derbyshire,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1506.0,1519.9937571116304,1519.0,0.99375711,9209802.02,99.93462097413355,0.8632138114209826
Devon and Cornwall,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1923.0,2665.7397137060457,2665.0,0.73971371,16151997.26,99.97225109029803,38.585543421736865
Dorset,Pool_2_Investigators,Police Staff and Designated Officers (Investigators),1154.0,810.3220869561917,810.0,0.32208696,4909826.74,99.96025198357835,-29.809358752166375
